gene,category,ad,t2d
EML2,shared,1,1
HLA-DQB1,shared,1,1
HLA-DQA2,shared,1,1
ZC3H4,shared,1,1
HLA-DRB1,shared,1,1
SNRPD2,shared,1,1
JAZF1,shared,1,1
BTNL2,shared,1,1
GIPR,shared,1,1
NPAS1,shared,1,1
QPCTL,shared,1,1
HLA-DRA,shared,1,1
HLA-DQA1,shared,1,1
HLA-DQB2,shared,1,1
ATP8B4,ad_only,1,0
APPL1,ad_only,1,0
PLCG2,ad_only,1,0
SHARPIN,ad_only,1,0
GRN,ad_only,1,0
APH1B,ad_only,1,0
IL17RD,ad_only,1,0
PICALM,ad_only,1,0
ALPK2,ad_only,1,0
IDUA,ad_only,1,0
HESX1,ad_only,1,0
TREM2,ad_only,1,0
AC074212.3,ad_only,1,0
PVRL2,ad_only,1,0
APOE,ad_only,1,0
CCND2,t2d_only,0,1
JADE2,t2d_only,0,1
NEUROG3,t2d_only,0,1
MTNR1B,t2d_only,0,1
CHST15,t2d_only,0,1
KCNQ1,t2d_only,0,1
CDKN1C,t2d_only,0,1
IGF2BP2,t2d_only,0,1
TSPAN15,t2d_only,0,1
TOX2,t2d_only,0,1
LRRC16A,t2d_only,0,1
IGF2BP3,t2d_only,0,1
CDKN2B,t2d_only,0,1
SLC22A18,t2d_only,0,1
